"TIF","BLUEBOOK","TRAVTIME","AGE","CAR_AGE","YOJ","INCOME"
6,10680,19,45,9,16,23001
10,37960,67,57,12,16,171914
1,7900,65,64,12,12,40189
1,6500,41,50,2,15,27784
10,12270,31,38,7,15,17725
1,20960,5,28,2,10,20853
4,16550,50,57,13,15,60600
6,17510,16,58,14,16,102093
6,23230,53,49,23,14,147456
1,15220,29,41,9,11,96167
17,9700,35,49,12,16,7078
1,11880,49,56,13,10,47848
6,19680,43,45,18,11,102766
6,17360,9,31,2,12,38454
1,25780,12,46,14,9,196757
1,31280,35,57,10,14,81023
11,41470,48,53,14,1,54029
1,6000,30,55,10,14,44968
6,27250,6,39,12,12,30729
10,28650,37,44,17,14,169603
1,16370,12,48,2,15,100710
6,9780,18,27,8,11,38952
1,17000,64,42,15,12,50010
6,10750,30,55,12,13,37538
3,13180,5,30,7,8,54029
4,7310,26,52,2,13,37389
13,35960,52,41,13,11,62841
6,18450,33,42,16,14,122086
7,4700,33,32,2,17,25750
10,21600,26,27,8,16,53459
4,18090,43,45,13,11,61697
6,20330,48,38,2,10,70852
4,18480,44,34,2,11,54854
1,25490,21,46,11,10,95663
1,10920,66,39,11,14,55221
1,20090,19,39,12,15,75947
4,5100,32,36,10,1,1
6,15990,13,51,12,11,59487
13,16500,40,41,14,7,54029
1,14070,33,27,8,13,22253
4,14410,7,36,8,9,26982
15,17680,36,48,19,10,118278
1,10830,48,40,9,12,93311
4,11510,50,40,2,8,30632
4,33200,30,36,21,12,127080
6,20770,22,51,20,9,93710
4,12240,31,33,18,9,74410
7,1500,51,56,13,11,63142
10,11150,6,39,13,14,96543
13,11190,43,54,5,14,76050
4,19020,9,35,11,12,78164
9,20100,22,57,17,14,128957
7,4250,29,43,10,15,12260
4,1500,51,41,12,14,4131
1,20920,21,57,12,16,98324
1,15030,55,47,14,6,88286
13,19760,19,39,16,10,85601
6,17840,27,47,2,1,1
6,17850,40,57,8,11,28618
13,6000,9,45,3,1,1
4,4900,34,38,7,13,48794
9,24110,30,35,7,15,45685
5,19410,36,48,8,12,131064
1,4000,10,25,9,13,26907
16,10480,49,53,16,14,36756
4,6330,8,35,9,1,1
1,10070,26,36,2,12,33295
4,24780,32,39,2,13,61613
3,8830,36,49,9,12,24290
6,13890,49,44,18,13,220723
1,34050,40,57,11,11,297436
1,14500,57,50,13,8,72307
6,42690,45,57,15,16,78468
1,24670,40,49,15,12,154854
4,15550,5,48,19,8,78932
5,12100,47,41,8,13,64958
1,6400,41,52,12,1,1
1,30790,46,36,18,9,90887
17,11180,20,46,16,8,71870
6,28800,42,39,20,12,101106
1,14870,34,28,13,12,54029
6,30670,18,47,19,15,212573
8,11970,26,53,14,13,27338
10,22170,32,51,13,16,192038
6,16400,24,43,2,17,58159
7,11370,41,49,7,15,37782
11,6600,5,51,13,15,74714
1,12690,66,67,2,15,54029
4,10510,22,34,2,1,1
1,1500,28,54,12,15,38769
3,6580,59,37,8,16,7576
9,7570,32,42,17,11,86597
6,4990,53,33,9,14,19825
13,25380,29,50,2,14,79990
9,5800,45,43,16,12,39849
1,7920,25,46,9,13,21526
3,11310,11,53,2,12,32197
7,18950,39,49,9,14,15493
1,25410,40,34,9,12,91964
13,10320,21,44,15,14,74944
6,13070,49,41,14,12,54029
6,6740,84,59,8,11,52357
6,12600,28,46,8,11,54029
1,19400,21,47,12,17,131986
4,5900,27,44,12,12,1
7,34070,61,49,18,14,276055
1,8360,21,37,12,11,54029
1,4900,38,34,10,6,42026
18,32300,37,47,8,15,179697
11,13460,19,49,18,15,70589
3,8770,5,34,2,15,24555
11,13380,21,43,10,17,50309
7,25560,24,58,15,11,182599
4,18920,62,50,13,13,728
1,10340,53,39,13,12,49424
6,6980,50,40,15,14,75129
1,16820,68,52,22,15,107637
4,8510,41,46,2,13,24140
4,6510,43,34,2,13,4363
6,6600,31,51,16,14,109917
1,25350,63,53,11,16,129979
6,12030,33,47,13,14,58274
4,12770,33,53,6,10,29430
1,22010,42,42,16,12,45302
4,11460,18,36,8,14,32647
1,15820,27,39,2,8,36142
6,10350,23,50,23,1,1
1,11120,36,47,2,13,40364
4,27630,5,44,7,13,115637
6,6080,27,48,10,14,45820
6,16780,46,36,2,12,33275
1,27970,23,38,16,11,54029
1,20410,52,58,9,10,27918
1,13660,19,61,20,16,43252
6,13910,34,42,11,11,149898
10,19470,15,39,9,1,1
10,11370,6,46,9,11,52704
3,12710,55,29,6,12,1
1,11260,14,43,12,15,54594
1,23760,24,42,14,11,50485
6,25290,49,49,2,15,65787
1,18480,54,55,6,13,50602
1,5900,60,44,12,12,71902
6,22480,31,63,16,18,42929
6,8990,37,36,7,10,32538
1,23000,44,49,19,13,128330
1,1720,51,26,2,12,2227
1,7400,21,59,12,8,94974
1,12850,39,46,22,7,51625
6,14380,22,49,10,9,47175
1,15790,35,35,12,15,82479
6,7930,36,42,2,11,29347
1,3770,28,27,11,12,27958
4,15380,35,40,12,10,113596
1,17380,26,49,13,14,93886
7,7560,50,34,7,12,7582
9,14690,33,39,10,11,92883
1,38550,44,48,12,12,252223
9,26410,37,43,15,10,54029
4,9580,38,45,2,13,16083
3,23790,39,49,6,16,40600
9,6400,36,49,11,12,62882
4,7200,66,57,2,15,57299
1,25460,31,39,22,16,48742
1,5790,25,32,11,6,68289
7,9590,48,45,2,13,20851
4,25700,55,41,2,12,21590
4,8680,38,47,10,16,71776
1,16480,5,36,15,8,54029
6,16320,42,33,2,11,42226
1,9350,9,41,11,9,60315
1,37120,5,42,11,12,80055
9,20570,47,39,2,11,24178
3,13900,24,33,9,14,21991
1,12510,12,37,10,15,63771
4,6480,35,37,8,10,6858
7,12810,6,53,13,14,76130
4,12930,30,43,2,14,25644
13,11620,54,39,2,14,11586
1,8500,11,44,2,13,26012
10,12820,39,62,7,12,1
6,5500,24,40,2,12,159374
17,18370,5,48,18,14,114949
4,15680,22,32,12,12,54029
10,9710,21,33,14,16,37794
9,8530,56,36,2,12,34330
6,6550,54,49,7,12,1546
1,7410,44,39,12,13,33571
1,22160,32,37,17,9,95103
10,11390,41,51,11,15,47937
6,30660,22,59,10,16,43119
7,16250,26,42,15,11,74413
6,21390,45,51,12,7,54029
1,6410,12,31,2,14,44121
7,20400,48,54,18,15,40863
14,12750,48,44,7,11,27608
10,14340,5,40,8,15,50402
1,12940,54,16,8,1,1
1,16940,65,52,18,12,84439
1,16170,36,37,11,13,48253
4,5400,30,39,10,10,35367
6,42770,26,61,13,18,201628
10,28440,27,46,13,13,12604
3,5500,20,40,21,13,130382
7,22010,41,51,15,14,58875
1,36960,29,43,12,14,118984
6,24360,30,34,13,12,102481
7,7590,17,50,15,12,60896
1,25890,39,49,10,16,58905
10,23250,13,43,10,11,174556
1,5600,40,41,12,1,1
6,6690,33,35,7,13,16921
6,1500,56,46,2,13,87381
6,28170,57,36,11,10,57149
11,16640,25,51,16,14,60777
6,11860,15,50,9,12,53568
10,8740,28,55,6,15,17050
6,25870,5,29,11,14,170163
6,24480,16,36,2,13,15359
9,26140,6,47,2,10,61366
1,15730,44,52,2,14,90251
4,12720,45,46,4,8,2634
4,8820,60,45,9,15,118732
1,14250,33,57,14,17,70533
13,20840,14,63,18,20,73122
7,5800,41,42,10,11,54029
4,14200,45,66,11,14,78188
1,12620,55,54,9,16,92262
6,18070,15,52,10,16,47043
13,18930,19,47,2,11,68245
1,25830,45,42,11,14,88996
1,17590,47,50,6,7,72746
1,17580,14,40,11,14,72243
1,1500,35,43,16,11,119342
10,28270,29,40,11,16,79992
1,29330,29,37,2,1,1
13,20140,73,49,14,13,137421
4,13250,43,44,12,14,73529
6,21160,5,45,22,12,64875
4,18550,41,43,10,15,30709
4,33370,39,51,6,15,71268
10,16570,33,39,2,14,10316
6,9430,36,48,13,10,56911
11,17700,36,34,6,14,69319
6,21320,32,34,16,11,71329
9,21750,28,53,18,14,140695
6,20810,58,54,16,12,127590
6,8430,24,51,17,14,30765
1,6580,39,39,2,1,1
1,23530,51,58,20,12,141387
1,11290,41,35,7,7,54029
1,11910,36,46,19,10,54029
6,13510,61,35,6,9,58942
1,37670,33,42,15,13,110129
6,20930,12,41,7,14,153271
11,27790,26,52,15,7,109494
6,16350,17,34,2,6,33866
4,13090,10,37,12,1,1
4,13390,48,51,18,13,101860
1,14760,61,55,6,14,33520
13,21200,42,42,2,13,24178
1,5600,55,41,15,1,1
7,22420,18,28,14,12,75090
6,14730,50,36,8,12,54029
4,7580,41,45,15,13,128655
1,6800,37,53,20,13,113919
10,16310,32,36,13,17,30034
11,32910,28,51,20,15,101535
1,16590,59,37,8,1,1
3,11810,35,61,8,14,42090
6,31210,24,55,2,12,42305
4,41490,32,46,21,8,165374
6,19610,12,55,15,12,73247
4,1500,30,36,2,7,40571
10,7020,37,41,15,16,14227
7,35340,22,55,11,5,95474
7,15070,35,48,8,13,27701
1,5700,36,42,13,11,134521
10,7130,18,38,2,17,18349
1,20680,60,56,14,1,1
8,7710,27,44,12,12,41391
17,14630,7,56,11,12,75266
6,15180,38,34,10,12,105691
6,5200,43,37,2,1,54029
6,11370,29,48,9,11,50656
6,18570,25,47,17,11,42279
17,16000,5,40,7,11,104997
7,37500,39,48,18,13,69590
3,16430,22,35,16,16,43197
13,21190,37,49,6,10,13395
4,15310,28,36,8,15,102148
7,22680,26,59,9,7,54029
1,14920,51,43,13,10,96400
4,31820,40,53,8,10,203642
7,4600,49,31,2,9,67843
1,20390,25,55,15,13,63377
7,14110,60,48,13,14,120484
1,16990,33,41,10,13,225312
1,30860,58,53,18,13,142752
12,34040,51,53,8,13,98240
1,15420,52,45,2,13,72739
1,6200,31,47,2,14,65803
14,8310,42,55,11,12,30842
3,41570,56,38,11,9,52507
1,15590,29,38,8,6,29880
10,11310,35,34,15,11,79550
7,24340,33,46,7,10,74182
4,15890,49,50,6,16,43544
1,30490,34,48,12,14,29627
16,1500,5,58,19,14,71530
6,6190,40,32,7,16,14938
4,6600,43,51,2,13,16053
6,2950,36,35,18,10,141633
7,11190,20,41,15,11,55868
6,29970,26,42,18,11,50645
9,12660,23,49,9,10,39485
3,22950,19,56,18,12,64125
7,22030,39,81,7,24,109276
7,24910,37,34,6,13,91833
1,18540,27,36,8,10,134362
10,10740,31,32,2,1,1
4,19860,32,37,6,10,76101
7,11740,27,44,2,12,49811
6,7230,41,50,10,15,73278
1,11410,5,33,2,9,53599
1,11040,38,43,12,10,105443
1,5200,31,37,9,10,22149
4,19630,34,51,2,1,54029
10,1500,45,45,5,8,40731
11,6200,5,47,15,15,72854
4,14420,16,40,2,10,126680
1,16270,42,42,12,13,90410
6,7790,45,45,18,13,62885
7,35690,15,49,12,10,94063
6,25900,35,35,2,13,81126
1,28600,69,41,8,14,57372
6,28580,12,56,8,13,36936
1,19750,27,46,8,11,35565
10,21660,74,42,2,6,3375
17,11550,8,31,2,16,69202
3,9990,47,37,8,13,35378
10,24670,40,41,15,7,80393
7,37750,5,42,2,12,49265
3,32190,46,34,2,13,87296
1,23250,38,31,7,13,22655
9,17470,19,40,8,15,107500
6,6600,57,51,2,11,65679
7,20990,17,34,6,1,1
4,19800,25,34,10,1,1
6,9620,40,37,9,12,40869
3,21460,32,37,8,8,61791
4,30750,45,46,18,13,108637
4,10000,38,48,24,16,134641
6,18390,6,33,9,1,1
1,22270,23,42,16,16,51410
1,17570,34,38,2,7,21074
1,4500,55,30,9,1,1
1,21930,21,48,2,10,2230
1,18730,55,53,13,10,48781
1,11520,41,43,2,8,57171
7,28560,51,60,14,14,99442
4,10740,48,41,2,11,51425
7,15410,26,40,2,13,88414
8,18170,17,57,13,16,94891
1,18910,39,38,10,14,46062
4,24540,45,52,11,14,31743
1,21720,34,53,10,11,142207
6,16150,26,44,15,13,79077
1,27870,37,26,11,12,180628
1,7640,23,45,2,1,1
1,18290,40,54,9,17,48079
6,9130,36,41,10,14,54029
4,19300,41,29,14,11,74203
17,8690,32,31,2,14,40852
1,5800,46,43,19,12,190992
6,11550,9,42,13,11,58490
9,20660,24,53,15,15,138551
4,10340,21,37,5,13,15036
3,12550,31,53,2,13,189053
13,15820,68,52,2,12,23197
4,25040,22,38,2,7,10610
6,19510,56,49,6,16,62787
1,13330,20,27,11,11,60215
10,6010,53,45,7,13,78104
1,14910,36,51,18,9,33958
8,10650,39,33,9,11,23954
10,14130,35,44,10,13,92899
6,17440,34,45,13,16,77184
17,19390,44,50,7,13,67783
1,11010,40,46,9,13,23784
7,22400,32,38,5,8,34985
10,12560,21,38,2,17,30434
4,4800,16,33,2,1,1
7,28300,30,54,13,11,136963
4,6550,21,48,8,12,8
1,12120,47,52,13,15,106219
4,9200,45,38,2,14,39006
1,12170,64,48,12,11,58717
6,6190,32,31,2,11,16716
7,13200,49,38,2,15,25571
7,26180,44,57,2,12,77632
10,14110,30,40,2,9,86092
10,12270,16,40,2,12,67701
4,27160,26,50,18,15,112659
4,17640,50,43,2,11,54029
4,9920,23,48,13,12,36226
6,25040,42,54,23,8,170111
1,13570,14,45,14,13,54668
12,33490,29,33,9,15,112763
9,23510,48,54,16,15,97383
13,8020,39,53,17,13,45433
1,10430,29,47,2,12,42304
5,5800,40,43,17,9,66614
1,17090,13,38,2,15,48022
13,29650,36,57,18,16,126349
10,9700,26,46,14,16,36027
1,15990,19,33,7,1,1
4,19900,55,50,17,9,52443
6,6600,24,51,2,5,40482
18,1500,54,22,2,1,1
7,10360,26,39,10,14,26841
6,6920,49,45,7,7,9160
6,14150,15,48,21,3,66785
1,21100,23,36,18,16,61463
10,6790,52,33,8,12,19895
13,15240,43,38,2,10,23865
10,12050,53,48,18,14,83478
4,22230,5,43,22,12,77031
6,14350,78,52,17,9,57913
11,20760,27,46,23,12,104207
4,9370,25,53,2,13,25699
4,5020,34,46,10,17,35232
1,15930,30,41,7,15,53359
10,10330,50,53,10,16,74296
13,17050,25,54,14,12,101451
4,23420,57,36,2,14,64756
3,20300,11,39,15,11,92140
18,5480,34,31,2,6,14196
1,24920,23,50,12,10,41697
1,21390,29,31,2,1,1
10,24970,7,53,7,12,41558
1,15960,53,59,15,18,85597
7,14420,34,41,12,10,37197
4,6200,23,47,15,11,87888
6,15360,65,50,6,14,40686
4,31970,28,48,12,16,38940
13,25450,25,55,15,13,63377
6,1500,30,43,2,16,61853
1,8700,34,44,2,16,54029
3,14650,34,53,2,12,29081
10,17220,12,41,7,14,65186
11,25280,71,36,2,12,20922
1,15400,43,62,15,17,43411
6,1930,50,45,9,16,4272
6,23280,50,45,18,13,84029
7,4300,27,47,17,8,123716
4,9300,31,47,5,12,30961
3,23160,5,31,13,12,54029
1,23790,31,45,8,5,83112
6,31180,34,37,24,13,93191
13,18730,26,33,8,13,36355
9,16580,35,47,14,12,68062
4,5300,11,38,2,1,1
6,11700,52,46,9,13,56007
9,10460,50,38,7,15,51621
1,17290,31,55,6,14,35917
6,6220,14,38,2,7,9174
1,5750,93,31,11,14,71739
1,20860,47,48,13,4,54029
3,19710,5,30,21,12,88306
1,15780,42,46,15,7,90233
14,24890,36,42,12,11,101637
6,5100,33,36,14,15,167972
4,11990,17,43,11,13,61950
6,6800,45,53,25,1,1
1,25640,24,41,2,10,21652
1,8240,31,43,2,12,24383
17,11510,38,41,7,16,54029
9,18400,17,47,10,9,54029
6,18150,48,40,15,6,89349
6,29420,26,45,2,10,26238
10,15170,28,39,16,10,51815
3,37550,33,52,15,13,112513
4,24730,40,44,13,8,78851
6,14280,31,57,10,14,151529
1,14800,5,40,11,3,164029
3,11470,27,33,9,16,39663
4,19240,19,46,16,12,82399
1,13030,12,32,7,12,36180
1,35990,5,36,10,13,130541
4,3950,5,39,11,15,24547
5,18430,24,46,13,11,123290
9,13670,36,63,2,13,52740
1,25630,22,47,14,14,80432
9,14110,48,43,10,9,110544
3,18660,27,46,14,15,125611
6,20530,52,45,13,13,129262
3,15110,25,26,2,13,35263
4,17600,10,38,18,9,83305
1,33470,20,55,14,12,133319
1,21250,23,52,2,14,43394
1,25010,21,54,9,15,48953
14,12230,45,44,10,13,84016
1,10650,39,39,2,7,33894
1,12710,20,40,8,14,12571
7,19710,27,50,2,11,68802
7,13210,48,55,16,9,117067
1,15820,40,46,9,12,28064
17,9390,60,40,2,12,27789
1,8060,44,45,2,15,20638
7,14460,43,39,12,13,85838
4,9650,24,53,20,18,81479
4,23210,45,36,12,11,29413
1,18800,27,49,16,13,98176
6,16330,37,45,17,14,103273
1,30400,22,45,7,12,17168
7,12910,13,39,2,15,45262
4,5920,24,38,7,1,1
1,22260,32,47,9,7,26296
10,5400,27,39,16,12,153237
4,10780,26,31,19,13,92818
6,8900,22,33,2,13,40991
4,1500,18,35,2,13,4458
4,11000,29,49,23,12,45963
1,4230,12,42,8,1,1
6,11250,37,61,7,16,52895
4,11660,5,48,8,12,53629
11,15750,45,43,8,17,99456
10,7300,54,49,17,13,196
3,6930,31,29,11,14,25295
6,13760,21,56,6,15,35736
6,12380,44,53,13,15,55771
1,27390,48,51,15,13,4432
17,31340,35,45,17,15,92627
1,5800,50,43,9,1,1
1,12300,22,56,9,12,52045
11,1500,40,58,11,1,1
10,24280,34,45,12,15,36631
6,7270,5,52,2,17,72501
6,8050,15,50,16,14,15546
3,18600,69,42,6,10,65080
1,13460,34,44,6,10,34409
1,19950,35,48,2,12,61435
12,17450,29,45,9,15,108310
1,18240,35,41,2,14,87334
10,7840,30,36,8,11,37453
4,8270,88,44,2,15,23684
1,15570,70,61,2,15,62379
1,7130,56,30,2,13,26316
3,14120,82,48,12,13,57530
4,17570,22,41,2,14,11125
7,36000,5,43,2,12,203512
1,1500,46,34,10,12,13344
6,7200,44,40,15,9,74054
6,5330,49,44,17,12,67279
17,16700,33,32,9,18,27586
1,36440,25,50,15,10,72666
1,20800,5,39,10,10,82792
1,18140,24,66,16,11,49078
3,10700,43,44,10,9,42409
1,26980,39,31,4,11,115309
1,26570,34,41,16,10,173558
10,5910,14,44,2,15,69640
6,9610,28,22,2,12,12826
1,11530,71,57,10,9,43289
13,31540,19,58,2,16,50763
10,13070,38,51,5,12,1
4,9840,46,49,10,12,56117
18,10550,56,41,11,1,1
1,23780,24,49,14,12,65660
1,35510,32,49,11,11,45367
1,9860,28,47,8,13,32993
10,22000,50,32,8,12,42140
1,5850,44,40,9,13,43490
3,6000,24,45,2,11,57628
3,19510,44,48,20,12,78941
10,8370,48,36,2,11,32667
1,13240,42,54,16,6,57707
10,13280,21,34,15,11,83793
1,24180,34,41,26,16,173573
10,28780,24,56,2,16,72382
6,10730,35,30,15,14,67794
1,18640,38,67,13,14,104422
1,9620,17,44,8,1,1
1,21980,11,36,11,6,103077
1,20660,12,46,12,12,27704
4,14520,21,48,14,15,54692
14,46610,47,54,16,11,193787
17,8750,42,32,12,11,40537
10,14130,30,42,2,15,84251
9,8800,38,73,21,15,164089
17,4850,54,31,2,14,33471
4,10030,39,49,8,10,36307
6,1500,43,37,2,12,3082
9,5000,50,35,10,1,1
7,10770,37,57,20,14,92675
1,33670,26,49,11,13,117425
6,16620,87,59,2,19,79179
7,20790,37,58,19,17,78398
4,10730,29,47,8,12,50283
7,9590,55,43,2,15,37899
4,27880,124,46,14,14,54029
6,12790,6,45,2,12,4787
1,14670,16,47,2,12,50604
4,9490,12,33,16,10,46868
1,14250,36,47,12,12,65325
11,28460,47,46,7,13,91320
1,14440,23,43,19,17,129377
6,12090,31,48,2,13,60282
1,23590,25,27,20,14,123063
1,39090,60,36,20,15,125647
3,33570,32,35,17,11,122049
7,5300,31,37,2,13,49341
6,20590,34,41,11,10,64929
17,16320,33,49,7,8,86848
7,26940,16,43,12,15,31714
10,6900,40,54,2,1,1
1,5800,47,42,12,1,1
1,14420,33,34,6,15,59908
4,12670,28,40,8,14,21412
4,46250,14,49,16,15,275393
13,43560,28,51,12,12,142546
1,17570,30,47,12,13,61881
6,16080,73,53,2,16,57837
1,7580,47,50,2,1,1
1,12790,23,43,7,12,55614
1,6390,18,40,15,12,101145
10,19420,7,64,12,18,23434
7,4500,14,30,18,14,38899
1,19040,10,61,17,12,66434
4,10950,44,52,12,13,68565
1,5900,14,44,2,17,58070
1,12910,47,44,11,11,70104
4,18600,10,50,14,13,53130
4,13140,43,48,16,14,3799
17,29640,18,42,15,10,115585
4,19960,11,52,19,12,137358
7,14900,28,51,5,14,31381
10,21120,58,35,7,11,19682
16,26320,5,37,9,10,41787
5,5000,20,35,9,17,32602
4,11030,59,39,2,7,104024
7,17980,32,34,6,15,101096
10,12450,23,44,9,1,1
6,10490,50,28,12,15,61942
4,48380,26,59,21,15,119538
10,22370,52,43,17,15,87753
6,27170,41,31,13,12,107483
10,14000,49,40,7,15,56071
1,7830,24,40,6,12,46396
1,31000,53,49,15,14,123575
1,37510,14,44,9,11,139682
4,29540,42,37,10,13,142514
6,12580,9,33,2,15,6608
13,7700,29,62,19,15,155165
6,14310,9,53,19,11,72292
3,20670,32,43,2,13,55087
3,3440,30,40,15,12,1
3,9530,42,40,2,13,37077
6,3470,5,48,2,12,47514
9,21620,18,36,2,1,1
1,21930,64,55,20,9,149255
7,24510,6,42,17,15,97485
1,15430,33,38,2,10,101268
11,9840,5,35,13,14,48387
1,5600,39,39,11,11,82599
1,7870,18,49,17,14,63688
6,27570,17,67,2,14,97260
7,1500,39,32,7,12,1
7,5370,33,51,10,13,38725
6,9490,48,34,9,13,25990
1,23630,39,44,14,11,155144
1,8960,48,51,2,17,23641
4,7100,37,56,10,15,128951
6,17420,57,46,8,13,34672
1,14180,8,44,6,13,90672
9,10850,51,47,12,13,189393
1,6410,31,36,2,1,1
3,18430,20,51,11,11,103746
7,15500,57,38,11,13,29700
3,19290,58,52,16,15,100705
5,31530,29,56,2,12,21638
1,6620,40,46,2,10,35587
4,6500,45,50,12,1,1
4,23490,29,44,24,13,124220
1,5330,43,32,13,13,54029
1,18470,43,43,10,13,12086
6,7060,17,37,7,12,93767
8,15880,51,37,15,11,182714
7,6750,27,32,11,11,52467
7,15240,39,49,8,16,26989
11,24280,45,51,20,11,176834
1,20870,35,47,14,12,68062
4,42540,38,58,5,11,101010
3,19340,9,49,15,11,86987
6,10040,13,37,8,14,48378
4,26820,26,54,15,14,144682
6,26700,46,47,2,14,55921
1,31520,50,48,9,13,42157
1,6200,21,44,2,1,1
10,13120,28,43,17,10,110955
7,24090,53,65,2,12,21039
5,20490,49,51,2,14,54308
4,14770,51,47,2,13,54320
7,28220,22,37,6,11,101121
1,10210,29,64,17,16,70172
7,7990,44,35,9,14,64873
2,17650,9,46,8,1,1
6,15240,35,48,12,12,89405
6,9290,22,52,10,15,52940
1,9800,28,53,10,10,30048
7,6180,37,37,2,13,50557
9,1500,47,35,10,10,33523
1,18050,72,40,7,12,23125
4,18000,22,47,2,12,15997
1,13400,5,61,13,14,57978
13,17240,28,49,10,12,108366
9,20900,34,52,23,13,75775
11,22210,25,41,9,11,89603
1,18150,42,56,11,15,58248
10,8420,23,51,8,11,18206
1,10810,54,46,2,11,85480
1,10830,34,45,11,14,48320
7,5990,27,43,2,1,1
1,7180,15,36,11,12,23373
6,3320,20,54,8,13,9124
6,6800,44,53,9,1,1
13,34880,32,31,10,12,29645
1,11010,59,41,7,14,35257
1,11500,49,44,12,14,26764
7,15050,21,54,16,11,81466
1,18340,28,48,10,13,106743
6,28360,31,41,10,10,41620
4,13340,55,57,11,14,62227
7,30660,31,41,9,12,71304
6,24590,15,60,15,16,91520
10,10380,10,33,22,11,70566
1,10670,5,58,12,13,33681
1,26910,41,59,17,16,134779
7,4800,34,33,2,1,54029
7,14260,24,47,13,8,53216
1,8580,35,42,8,18,24866
6,13800,42,40,9,13,80318
1,14460,43,32,2,9,8660
7,5760,68,22,11,11,20647
1,13350,43,63,18,16,55531
4,17830,18,34,2,12,24381
21,20130,12,41,16,13,145261
13,22760,9,42,2,11,77913
6,4380,11,23,17,7,5823
11,17790,51,60,2,20,29177
4,10420,31,45,13,16,44214
1,14440,8,52,9,15,54029
7,9970,30,37,14,1,1
1,13890,19,43,5,1,1
1,13510,61,34,12,13,17070
3,15350,39,42,2,16,96538
7,7980,26,45,8,15,49475
3,18350,17,49,13,12,214190
1,33450,5,55,13,14,264482
4,14990,27,52,13,13,130477
16,7510,5,47,10,9,54029
6,17280,51,52,19,15,63483
1,8940,28,48,2,14,7380
10,15410,57,61,2,15,78095
3,20090,15,33,2,12,40519
12,31560,38,43,2,16,70256
1,4500,41,30,9,11,27804
6,29250,23,39,9,17,94727
10,30190,31,41,9,9,88888
1,11140,10,59,8,14,41302
10,6790,30,44,2,15,52858
4,21870,31,49,15,14,154737
3,15120,26,37,2,13,46662
4,11530,53,38,12,1,1
10,12880,38,40,2,1,1
1,5950,6,40,6,12,54029
1,10660,48,43,14,15,28891
10,16280,48,48,2,11,49694
10,1520,5,50,17,13,7972
4,26310,38,67,7,15,40864
4,12010,69,42,13,12,54029
1,27260,40,38,8,13,61565
13,20690,5,35,6,8,32635
10,23940,36,44,19,11,152788
7,14960,12,40,2,11,48813
1,19430,41,16,8,11,50101
1,65970,29,50,10,11,367031
1,28600,11,30,2,9,52121
4,18190,23,37,8,11,11755
6,19770,21,55,16,12,43181
4,20670,25,43,8,11,69302
1,5900,12,44,12,10,4702
10,19390,52,46,2,12,19314
11,40980,39,46,16,14,153459
12,17190,41,47,2,9,9899
1,15050,41,33,3,15,21747
1,14400,42,48,2,11,34607
6,29980,12,34,2,10,85129
1,20590,50,35,18,12,54029
1,17060,48,50,16,14,15546
1,27770,28,41,2,16,129237
7,10300,31,50,2,12,37968
7,19090,29,37,15,11,138855
4,8770,19,40,15,12,52069
1,6700,46,52,2,11,43547
1,5400,38,39,7,1,1
1,22010,32,54,2,15,151139
11,17810,52,49,11,10,114123
3,8030,58,38,12,18,77831
1,32490,37,49,2,11,45188
4,16260,22,36,5,14,39812
1,9640,14,32,9,1,1
6,37620,35,58,13,13,142171
10,18450,38,37,17,14,53060
6,15630,33,50,20,11,136459
6,24650,46,51,15,10,161326
1,9720,52,39,14,13,69395
7,27210,53,42,2,12,73763
9,30530,22,66,16,13,54029
4,6500,46,38,12,14,93832
6,13870,21,50,15,14,54029
4,13170,42,54,6,9,37093
21,25430,25,55,9,11,42681
4,15660,53,44,8,13,97625
6,25940,52,47,20,15,107407
6,32880,33,27,17,12,118871
14,13420,45,50,12,14,43129
4,5800,37,43,12,11,69770
3,30350,31,46,23,12,67411
1,12780,37,48,11,15,64799
7,5900,7,44,6,16,38109
6,17570,52,46,2,13,48886
7,19670,54,63,13,16,118664
6,24520,49,46,16,9,54029
10,8420,33,47,2,8,22214
1,31890,31,44,13,12,95092
6,10360,36,55,8,1,1
4,12610,39,46,7,15,65061
6,22620,30,58,13,14,84377
7,26010,11,52,8,10,87456
7,18080,5,46,12,13,67712
1,14900,28,49,12,1,1
1,22470,38,28,8,12,54029
1,1500,15,43,12,15,94683
1,9690,25,38,10,9,43852
1,13880,64,36,8,1,1
10,15840,25,42,7,13,9110
6,27110,46,40,8,11,74872
10,15440,52,56,2,15,54287
1,26670,58,44,15,13,44894
6,9860,17,42,8,14,54029
11,3180,31,45,14,1,54029
15,6640,28,27,9,11,20973
13,9340,24,49,2,9,22060
1,17740,59,53,4,15,109438
8,12070,17,42,6,19,63738
1,37130,24,54,17,11,235076
6,3870,19,33,2,6,12068
6,10800,24,60,5,16,1008
9,15370,34,41,9,13,219
7,5900,15,44,17,19,96211
7,13780,37,51,2,14,43407
4,26310,19,51,10,16,92963
14,9920,43,52,20,13,50854
3,39360,32,44,16,12,108376
1,6200,44,47,11,15,52892
5,9790,35,38,5,16,27420
1,10610,17,48,17,14,43137
13,9700,40,51,9,13,30970
10,1500,18,51,14,1,54029
1,15480,37,45,15,11,75210
1,29980,38,48,2,15,43997
4,9110,63,42,7,8,70142
4,10020,46,47,2,12,25675
1,11380,40,61,2,4,23112
